daily1,"THE GLASGOW HERALD"
daily2,"THE INDEPENDENT"
daily3,"THE DAILY TELEGRAPH"
daily4,"THE GUARDIAN"
daily5,"THE FINANCIAL TIMES"
daily6,"THE TIMES"
daily7,"THE SCOTSMAN"
daily8,"DAILY EXPRESS"
daily9,"DAILY MAIL"
daily10,"DAILY RECORD"
daily11,"THE SUN"
daily12,"DAILY MIRROR"
daily13,"DAILY STAR"
daily14,"WESTERN MAIL (WALES)"
daily15,"BELFAST TELEGRAPH"
daily16,"IRISH NEWS"
daily17,"NEWS LETTER (ULSTER)"
daily18,"THE METRO"
daily19,"EVENING STANDARD"
daily20,"I NEWSPAPER"
daily21,"BROADSHEET"
daily22,"MID MARKET"
daily23,"TABLOID"
daily24,"NONE OF THESE"
daily25,"DON'T KNOW"
sunday1,"SUNDAY MAIL (SCOTLAND)"
sunday2,"THE MAIL ON SUNDAY"
sunday3,"SUNDAY POST"
sunday4,"THE INDEPENDENT ON SUNDAY"
sunday5,"SUNDAY TIMES"
sunday6,"SUNDAY TELEGRAPH"
sunday7,"SUNDAY EXPRESS"
sunday8,"OBSERVER"
sunday9,"NEWS OF THE WORLD"
sunday10,"THE PEOPLE"
sunday11,"SUNDAY MIRROR"
sunday12,"SUNDAY SPORT"
sunday13,"SCOTLAND ON SUNDAY"
sunday14,"DAILY STAR SUNDAY"
sunday15,"THE SUN (SUNDAY)"
sunday16,"BROADSHEET"
sunday17,"MID-MARKET"
sunday18,"TABLOIDS"
sunday19,"NONE OF THESE"
sunday20,"DON'T KNOW"

