Column1,A01_interview_date,A03_quest_no,A04_start,A05_end,A06_province,A07_district,A08_ward,A09_village,A11_years_farm,A12_agr_assoc,B11_remittance_money,B16_years_liv,B17_parents_liv,B18_sp_parents_liv,B19_grand_liv,B20_sp_grand_liv,B_no_membrs,C01_respondent_roof_type,C02_respondent_wall_type,C02_respondent_wall_type_other,C03_respondent_floor_type,C04_window_type,C05_buildings_in_compound,C06_rooms,C07_other_buildings,D_plots_count,E01_water_use,E17_no_enough_water,E19_period_use,E20_exper_other,E21_other_meth,E23_memb_assoc,E24_resp_assoc,E25_fees_water,E26_affect_conflicts,E_no_group_count,E_yes_group_count,F04_need_money,F05_money_source_other,F06_crops_contr,F08_emply_lab,F09_du_labour,F10_liv_owned_other,F12_poultry,F13_du_look_aftr_cows,F_liv_count,G01_no_meals,_members_count,_note,gps:Accuracy,gps:Altitude,gps:Latitude,gps:Longitude,instanceID
0,17/11/2016,1,2017-03-23T09:49:57.000Z,2017-04-02T17:29:08.000Z,Province1,District1,Ward2,Village2,11,no,no,4,no,yes,no,yes,3,grass,muddaub,,earth,no,1,1,no,2,no,,,,,,,,,2,,,,,no,no,,yes,no,1,2,3,,14,698,-19.11225943,33.48345609,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
1,17/11/2016,1,2017-04-02T09:48:16.000Z,2017-04-02T17:26:19.000Z,Province1,District1,Ward2,Village2,2,yes,no,9,yes,yes,yes,yes,7,grass,muddaub,,earth,no,1,1,no,3,yes,yes,2,yes,no,yes,no,no,once,,3,no,,more_half,yes,no,,yes,no,3,2,7,,19,690,-19.11247712,33.48341568,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
5,17/11/2016,6,2017-04-02T15:27:25.000Z,2017-04-02T17:28:02.000Z,Province1,District1,Ward2,Village2,3,no,no,3,no,no,no,no,3,grass,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,no,no,1,2,3,,12,692,-19.1121959,33.48339187,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
6,17/11/2016,7,2017-04-02T15:38:01.000Z,2017-04-02T17:28:19.000Z,Province1,District1,Ward2,Village2,20,no,no,38,yes,no,yes,no,6,grass,muddaub,,earth,no,1,1,yes,4,yes,yes,10,yes,no,no,,no,never,,4,no,,more_half,no,no,,no,no,1,3,6,,11,709,-19.11221904,33.48336498,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
15,24/11/2016,16,2017-04-03T05:29:24.000Z,2017-04-03T05:40:53.000Z,Province1,District1,Ward2,Village2,24,yes,no,47,yes,yes,yes,yes,6,grass,muddaub,,earth,yes,2,1,yes,1,no,,,,,,,,,1,,,,,yes,yes,,no,no,4,3,6,,9,709,-19.11210678,33.48344397,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
17,21/11/2016,18,2017-04-03T12:27:04.000Z,2017-04-03T12:39:48.000Z,Province1,District1,Ward2,Village2,6,no,no,20,yes,yes,no,yes,4,grass,muddaub,,earth,no,1,1,no,2,no,,,,,,,,,2,,,,,no,yes,,yes,no,3,2,4,,17,685,-19.11133515,33.47630848,uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3
21,21/11/2016,22,2017-04-03T16:28:52.000Z,2017-04-03T16:40:47.000Z,Province1,District1,Ward2,Village2,14,no,no,20,yes,yes,yes,yes,4,grass,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,1,2,4,,9,722,-19.11212691,33.48350764,uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9
27,21/11/2016,28,2017-04-05T05:14:49.000Z,2017-04-05T05:36:18.000Z,Province1,District1,Ward2,Village1,2,no,no,2,no,no,no,no,2,grass,muddaub,,earth,no,1,1,yes,3,yes,yes,2,yes,no,no,,no,more_once,,3,no,,more_half,no,yes,,yes,no,1,3,2,,7,721,-19.04290893,33.40506932,uuid:1de53318-a8cf-4736-99b1-8239f8822473
29,21/11/2016,30,2017-04-05T06:05:58.000Z,2017-04-05T06:20:39.000Z,Province1,District1,Ward2,Village1,22,yes,yes,22,no,no,no,no,7,grass,muddaub,,earth,no,1,2,no,1,no,,,,,,,,,1,,,,,no,yes,,no,no,1,2,7,,5,669,-19.04300478,33.40505449,uuid:59341ead-92be-45a9-8545-6edf9f94fdc6
30,21/11/2016,31,2017-04-05T06:21:20.000Z,2017-04-05T06:38:26.000Z,Province1,District1,Ward2,Village1,15,yes,no,2,yes,yes,yes,yes,3,grass,muddaub,,earth,no,7,1,no,1,no,,,,,,,,,1,,,,,no,no,,no,no,1,3,3,,4,704,-19.04302176,33.40509382,uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8
32,21/11/2016,33,2017-04-05T08:08:19.000Z,2017-04-05T08:25:48.000Z,Province1,District1,Ward2,Village1,20,yes,no,34,yes,yes,yes,yes,8,grass,muddaub,,cement,no,2,1,no,2,yes,yes,20,yes,no,no,,no,more_once,,2,no,,more_half,no,no,,yes,no,2,2,8,,5,695,-19.04414887,33.40383602,uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758
34,17/11/2016,35,2017-04-05T16:22:13.000Z,2017-04-05T16:50:25.000Z,Province1,District1,Ward2,Village3,45,yes,no,45,no,no,no,no,5,grass,muddaub,,earth,no,3,1,no,2,yes,yes,20,yes,no,yes,no,no,more_once,,2,no,,more_half,no,yes,,yes,no,2,3,5,,11,733,-19.11211362,33.48342515,uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce
